etX,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,OBJECTID
-77.0217996717955,38.9455767016797,11000702_47049672,47049672,84.94400024,Alley-47049672 & 7TH ST NW,10,87ca4d331cf3931d6d8a7c1f3e6955aa,,3880861
-77.0926225007432,38.9431719401657,11004702_11088922,11004702,700.684021,47TH ST NW & VAN NESS ST NW,11,d105d965aadcdc9d776c1360413dd2d2,,3880862
-77.1106327994782,38.9343870419421,11057912_11091712,11091712,559.34802246,WATSON ST NW & MACARTHUR BLVD NW,11,e5584a9c5e2d597ff88cdf7f4c5345e4,,3880863
-77.066101205706,38.9097820103506,11003302_11090022,11090022,128.63000488,VOLTA PL NW & 33RD ST NW,12,f82b6f0a91086f01d909febd8aa9769d,,3880864
-77.0886335583765,38.9553572925024,11004502_11034772_47034002,47034002,0,Alley-47034002 & 45TH ST NW & FARADAY PL NW,10,624d518ae79ba8e13cf149a2ce5acd81,,3881073
-77.0407397834801,38.9424350663992,47061272_47061282_47075622,47075622,215.77600098,Alley-47075622 & Alley-47061272 & Alley-47061282,,a6b585a0c433c0e398d0048cb3e830a0,,3881074
-77.008369427476,38.8329311876635,15081252_36000302,15081252,6482.58789063,SOUTH CAPITOL ST BN & Ramp-36000302,11,8b6870368cd648490d582e46077b421e,,3881075
-77.0363709233063,38.9731318756577,11001602_11058482,11001602,8152.22900391,16TH ST NW & MAIN DR NW,13,e7054e290973a32b8cd8012e59ac0b1e,5108,3881076
-76.9977375964764,38.9282574027147,12021862_12075242*1,12075242,0,REGENT PL NE & CHANCELLOR'S WAY NE,11,e6cca4a195cb4fd3d1cec328a0339a54,,3881077
-76.9893519707551,38.9462781845394,12018782_47031792,12018782,1065.08996582,BUCHANAN ST NE & Alley-47031792,10,76ef5608a74ec449f108f83d760ee4bf,,3881078
-77.0439952578296,38.9121621425858,47010302_47012142_47082522,47012142,114.6969986,Alley-47012142 & Alley-47010302 & Alley-47082522,10,a6fcaafe4988913a426de28a8556cf03,,3881079
-77.069846669637,38.9470954731925,11003602_11010072,11010072,254.26400757,ALTON PL NW & 36TH ST NW,12,a38c5c59ffe947cd9e811e4da2f8d5c2,,3881080
-77.0383338501676,38.9307282157985,11052522_47047012,47047012,0,Alley-47047012 & KILBOURNE PL NW,,03379ed51eb2e4b03d525d9d280e1725,,3881081
-77.0147781269958,38.9053692619623,11064282_11064672,11064282,1534.7409668,NEW JERSEY AVE NW & NEW YORK AVE NW,13,1f08a872dff38b0360fbbc7d94ec6b4c,3045,3881082
-76.9688009601902,38.8904779173124,58006382_58006482_58007662,58007662,0,Driveway-58007662 & Driveway-58006382 & Driveway-58006482,10,493d4d371126eef0fe1bcbb6211a7ea1,,3881083
-77.0196647683754,38.9420471469805,11088012_47061232,11088012,552.6829834,UPSHUR ST NW & Alley-47061232,,f1639f1fe6784e4949cfff50e5badc39,,3881084
-77.0461463641122,38.9333391798093,47004742_47004752_47019232,47004752,0,Alley-47004752 & Alley-47019232 & Alley-47004742,10,5fc9fb14f71292d2609cb7f37fdc1c6a,,3881085
-76.9737335607153,38.9157821058499,12015992_12084562,12015992,1941.0670166,BLADENSBURG RD NE & T ST NE,11,d2cab36fd33a77f76bd834e069cecf42,,3881086
